Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,vader_scores,vader_compound,vader_pos,vader_neu,vader_neg,roberta_neg,roberta_neu,roberta_pos,pipeline_label,pipeline_score
1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,Good Quality Dog Food,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9441}",0.9441,0.305,0.695,0.0,0.009624222293496132,0.04998035356402397,0.9403953552246094,POSITIVE,0.9983851909637451
2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,Not as Advertised,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"".","{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.5664}",-0.5664,0.0,0.862,0.138,0.5089859366416931,0.4524136483669281,0.03860040381550789,NEGATIVE,0.9995254278182983
3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,"""Delight"" says it all","This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.","{'neg': 0.091, 'neu': 0.754, 'pos': 0.155, 'compound': 0.8265}",0.8265,0.155,0.754,0.091,0.0032289030496031046,0.09806746989488602,0.8987036943435669,POSITIVE,0.9997652173042297
4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,Cough Medicine,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,0.0022951262071728706,0.0902191624045372,0.9074856638908386,POSITIVE,0.9991534948348999
5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,Great taffy,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal.","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9468}",0.9468,0.448,0.552,0.0,0.0016347282798960805,0.010302464477717876,0.988062858581543,POSITIVE,0.9987082481384277
6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,Nice Taffy,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.","{'neg': 0.029, 'neu': 0.809, 'pos': 0.163, 'compound': 0.883}",0.883,0.163,0.809,0.029,0.006129592657089233,0.021795867010951042,0.972074568271637,POSITIVE,0.9992551207542419
7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,Great!  Just as good as the expensive brands!,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!","{'neg': 0.034, 'neu': 0.693, 'pos': 0.273, 'compound': 0.9346}",0.9346,0.273,0.693,0.034,0.0013047539396211505,0.007773790508508682,0.9909214377403259,POSITIVE,0.9993639588356018
8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,"Wonderful, tasty taffy",This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,"{'neg': 0.0, 'neu': 0.52, 'pos': 0.48, 'compound': 0.9487}",0.9487,0.48,0.52,0.0,0.0020293579436838627,0.005685204174369574,0.9922853708267212,POSITIVE,0.9998829364776611
9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,Yay Barley,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.6369}",0.6369,0.149,0.851,0.0,0.0038735796697437763,0.09415628015995026,0.9019700884819031,POSITIVE,0.9985174536705017
10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,Healthy Dog Food,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.8313}",0.8313,0.295,0.705,0.0,0.0031034541316330433,0.05591217055916786,0.940984308719635,POSITIVE,0.9994561076164246
